target,target_family,model,calibrator,split,threshold_type,threshold_label,threshold,rows,positives,selected_rows,selected_share,precision,recall,f1,base_rate,lift_vs_base_rate
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,probability_threshold,p_ge_0.10,0.1,2419,1199,1506,0.6225713104588673,0.7828685258964143,0.9833194328607172,0.8717190388170055,0.49565936337329475,1.5794486773506473
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,probability_threshold,p_ge_0.25,0.25,2419,1199,1414,0.5845390657296403,0.8231966053748232,0.9708090075062552,0.8909299655568312,0.49565936337329475,1.66081116630667
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,probability_threshold,p_ge_0.50,0.5,2419,1199,1146,0.47374948325754446,0.9267015706806283,0.8857381150959133,0.9057569296375265,0.49565936337329475,1.8696339445174646
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,probability_threshold,p_ge_0.75,0.75,2419,1199,1000,0.41339396444811904,0.97,0.8090075062552127,0.882219190541155,0.49565936337329475,1.9569891576313594
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,probability_threshold,p_ge_0.90,0.9,2419,1199,825,0.3410500206696982,0.9842424242424243,0.677231025854879,0.8023715415019762,0.49565936337329475,1.9857234564157
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.44339622641509435,2419,1199,1266,0.5233567589913187,0.8854660347551343,0.9349457881567973,0.9095334685598377,0.49565936337329475,1.7864406489346705
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_1pct,1.0,4046,2214,41,0.01,1.0,0.018518518518518517,0.03636363636363636,0.5472071181413742,1.8274616079494126
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_5pct,0.9764705882352941,4046,2214,203,0.05,0.9852216748768473,0.09033423667570009,0.16549441456350847,0.5472071181413742,1.8004547861570568
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_10pct,0.96045197740113,4046,2214,405,0.1,0.9777777777777777,0.17886178861788618,0.3024054982817869,0.5472071181413742,1.7868513499949812
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.10,0.1,4046,2214,2822,0.6974789915966386,0.7728561304039688,0.9850948509485095,0.8661636219221605,0.5472071181413742,1.4123649067815978
