experiment,model,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_broader_targets3,logistic_l2,42,validation,6043,1620,0.26807876882343207,0.8309168947470038,0.7304222038000017,0.5398870621347722,0.46859903381642515,0.5987654320987654,0.5257452574525745,3323,1100,650,970,failure_pressure_sector_relative_next_4obs
test_broader_targets3,logistic_l2,42,test,4412,1134,0.257026291931097,0.8309168947470038,0.7903265638164967,0.6242988172538668,0.26371556392747825,0.9876543209876543,0.4162795019513102,151,3127,14,1120,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,42,train,17197,3468,0.20166308076990172,0.3821013004392468,0.9947742564653426,0.9775439551921514,0.7961856617647058,0.9991349480968859,0.8861892583120204,12842,887,3,3465,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,42,validation,6043,1620,0.26807876882343207,0.3821013004392468,0.8591696602775057,0.7180423655647963,0.6435474701534963,0.6987654320987654,0.6700207161882213,3796,627,488,1132,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,42,test,4412,1134,0.257026291931097,0.3821013004392468,0.8534368937053499,0.7223254143904758,0.6233870967741936,0.681657848324515,0.6512215669755687,2811,467,361,773,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,202,train,17197,3468,0.20166308076990172,0.36818966530016684,0.9946689052538918,0.9770293087687246,0.7794514388489209,0.9997116493656286,0.8759474482061648,12748,981,1,3467,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,202,validation,6043,1620,0.26807876882343207,0.36818966530016684,0.8596620359903199,0.7191493989371905,0.6268253109789075,0.7154320987654321,0.6682040933986739,3733,690,461,1159,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,202,test,4412,1134,0.257026291931097,0.36818966530016684,0.8515927895122526,0.7194299349998484,0.601063829787234,0.6975308641975309,0.6457142857142858,2753,525,343,791,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,777,train,17197,3468,0.20166308076990172,0.3711742018562871,0.994851526622226,0.9777393740903917,0.7822653429602888,0.9997116493656286,0.8777215189873419,12764,965,1,3467,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,777,validation,6043,1620,0.26807876882343207,0.3711742018562871,0.8602798781900447,0.7199739091102544,0.6323610346725371,0.7092592592592593,0.6686063427407621,3755,668,471,1149,failure_pressure_sector_relative_next_4obs
test_broader_targets3,random_forest,777,test,4412,1134,0.257026291931097,0.3711742018562871,0.853885343258945,0.7221928330812387,0.6027397260273972,0.6984126984126984,0.6470588235294118,2756,522,342,792,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,42,train,17197,3468,0.20166308076990172,0.5533712318419417,0.9234894492946049,0.7932416644870723,0.6380396732788798,0.7883506343713956,0.7052753772733136,12178,1551,734,2734,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,42,validation,6043,1620,0.26807876882343207,0.5533712318419417,0.8574695126206167,0.7133180551899263,0.6406429391504018,0.6888888888888889,0.6638905413444378,3797,626,504,1116,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,42,test,4412,1134,0.257026291931097,0.5533712318419417,0.8549175573784074,0.7207472312250108,0.6,0.701058201058201,0.6466043106954047,2748,530,339,795,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,202,train,17197,3468,0.20166308076990172,0.5533712318419417,0.9234894492946049,0.7932416644870723,0.6380396732788798,0.7883506343713956,0.7052753772733136,12178,1551,734,2734,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,202,validation,6043,1620,0.26807876882343207,0.5533712318419417,0.857690997954017,0.7135570166216759,0.6397479954180985,0.6895061728395062,0.6636957813428401,3794,629,503,1117,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,202,test,4412,1134,0.257026291931097,0.5533712318419417,0.8543754902815305,0.718959407614679,0.600151171579743,0.7001763668430335,0.6463166463166464,2749,529,340,794,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,777,train,17197,3468,0.20166308076990172,0.5533712318419417,0.9234894492946049,0.7932416644870723,0.6380396732788798,0.7883506343713956,0.7052753772733136,12178,1551,734,2734,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,777,validation,6043,1620,0.26807876882343207,0.5533712318419417,0.857654153512922,0.7138769070878315,0.6404816513761468,0.6895061728395062,0.664090368608799,3796,627,503,1117,failure_pressure_sector_relative_next_4obs
test_broader_targets3,gradient_boosting,777,test,4412,1134,0.257026291931097,0.5533712318419417,0.8547671774741126,0.7209511953424542,0.5993953136810279,0.699294532627866,0.6455026455026455,2748,530,341,793,failure_pressure_sector_relative_next_4obs
