experiment,target,model,feature_set,seed,feature,feature_clean,feature_group,importance,signed_value
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__cash_flow_operating,cash_flow_operating,accounting_fundamental,0.0022745783890876776,0.0022745783890876776
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__net_margin,net_margin,financial_ratio,0.002165516724720237,0.002165516724720237
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__equity_assets,equity_assets,financial_ratio,0.0018837985141322952,0.0018837985141322952
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__operating_margin,operating_margin,financial_ratio,0.0018804926882154075,0.0018804926882154075
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__BUSLOANS,BUSLOANS,macro,0.0017014485773114536,0.0017014485773114536
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__missingindicator_roa_change_4obs,roa_change_4obs,firm_trend,0.0016812314145256892,0.0016812314145256892
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__current_liabilities,current_liabilities,accounting_fundamental,0.001564401247441469,0.001564401247441469
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__DTWEXBGS_yoy_pct,DTWEXBGS_yoy_pct,macro,0.0015566221345497625,0.0015566221345497625
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__capex,capex,accounting_fundamental,0.0012587859835142487,0.0012587859835142487
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__INDPRO_yoy_pct,INDPRO_yoy_pct,macro,0.0011598279646351615,0.0011598279646351615
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__operating_margin_change_4obs,operating_margin_change_4obs,firm_trend,0.0011412494414278246,0.0011412494414278246
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__current_assets,current_assets,accounting_fundamental,0.0011031092865168503,0.0011031092865168503
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__current_ratio,current_ratio,financial_ratio,0.001050352732049198,0.001050352732049198
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__net_margin_lag1,net_margin_lag1,firm_trend,0.0010141748218644585,0.0010141748218644585
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__T10Y2Y,T10Y2Y,macro,0.0009998754173664818,0.0009998754173664818
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__USEPUINDXD,USEPUINDXD,macro,0.0008957304984221265,0.0008957304984221265
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__total_revenue,total_revenue,accounting_fundamental,0.0008449456550788386,0.0008449456550788386
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__DCOILWTICO,DCOILWTICO,macro,0.000833838715296395,0.000833838715296395
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__current_liabilities_growth_4obs,current_liabilities_growth_4obs,firm_trend,0.0008326588503969489,0.0008326588503969489
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__r_and_d_intensity,r_and_d_intensity,financial_ratio,0.000828458839443278,0.000828458839443278
